TABLE NO.  1
 ID          AMT         DV          PRED        RES         WRES
  7.0000E+00  0.0000E+00  1.3180E+00  8.9885E-01  4.1915E-01  2.2093E-01
  7.0000E+00  0.0000E+00  1.3260E+00  7.6355E-01  5.6245E-01  6.9980E-01
  7.0000E+00  0.0000E+00  7.8200E-01  6.0402E-01  1.7798E-01 -1.2254E-01
  8.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.6000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0000E+00  0.0000E+00  1.7720E+00  3.2983E+00 -1.5263E+00 -1.4676E-01
  8.0000E+00  0.0000E+00  3.2760E+00  5.9126E+00 -2.6366E+00 -1.8913E-01
  8.0000E+00  0.0000E+00  4.4610E+00  7.8244E+00 -3.3634E+00 -2.0969E-01
  8.0000E+00  0.0000E+00  5.3130E+00  1.0876E+01 -5.5633E+00 -4.5244E-01
  8.0000E+00  0.0000E+00  6.0460E+00  1.0834E+01 -4.7875E+00 -4.3128E-01
  8.0000E+00  0.0000E+00  4.3230E+00  8.4241E+00 -4.1011E+00 -5.8195E-01
  8.0000E+00  0.0000E+00  4.0920E+00  6.2053E+00 -2.1133E+00 -3.5877E-01
  8.0000E+00  0.0000E+00  3.0190E+00  2.4503E+00  5.6867E-01  6.3799E-01
  8.0000E+00  0.0000E+00  1.5880E+00  2.2421E+00 -6.5414E-01 -3.5732E-01
  8.0000E+00  0.0000E+00  1.1950E+00  2.0678E+00 -8.7277E-01 -6.2934E-01
  8.0000E+00  0.0000E+00  1.0550E+00  1.7711E+00 -7.1609E-01 -6.4764E-01
  8.0000E+00  0.0000E+00  1.5040E+00  1.5128E+00 -8.8271E-03  6.1091E-02
  8.0000E+00  0.0000E+00  1.0990E+00  1.1973E+00 -9.8261E-02 -1.8376E-01
  8.0000E+00  0.0000E+00  1.2150E+00  5.0688E-01  7.0812E-01  1.5844E+00
